,Timestamp,Username,VideoID,Comment,Date
28,2024-08-31T05:08:04Z,@swiftkeyflow4831,dJ9uVVNWClk,"นันครับ.. อยู่ทางนั้นสบายดีไหมคิดถึงกันบ้างหรือป่าว  เค้าไม่เคยโกรธหรือเกลียเธอเลยนะ
ใหอภัยในทุกๆเรื่อง ถ้าผ่านมาเห็นแค่อยากจะบอกว่า คิดถึงเธอมากๆนะ ไม่เคยลืมเธอได้เลย
อยุ่คนเดียวอะอยุ่ได้..แต่จะอยุ่ยังไงไม่ให้คิดถึงเธอตลอดเวล.....ครึ่งชีวิตเลยน่ะที่อยุ่ด้วยกัน😊",2024-08-31T05:08:04Z
29,2024-08-30T18:31:37Z,@SpecialChannelTH,dJ9uVVNWClk,ฝ่ายที่คิดถึงมีแค่ผมฝ่ายเดียว เพราะเธอไม่คิดถึงกันเลย,2024-08-30T18:31:37Z
30,2024-08-30T14:55:06Z,@baba6847,dJ9uVVNWClk,เมื่อคืนบังเอิญฝันถึงในรอบหลายเดือนอีกแล้ว ผ่านมาตั้ง5ปีแล้วนะใช้ชีวิตของตัวเองทุกวันก็เหมือนจะลืมไปแล้ว แต่ทำไมยังฝันถึงเสมอๆก็ไม่รู้,2024-08-30T14:55:06Z
31,2024-08-27T21:41:28Z,@phetcharatsaithong4059,dJ9uVVNWClk,🦋,2024-08-27T21:41:28Z
32,2024-08-27T11:10:02Z,@SamSung-fb3kl,dJ9uVVNWClk,เพราะมาก,2024-08-27T11:10:02Z
33,2024-08-27T00:01:15Z,@Sanmyuing,dJ9uVVNWClk,QUE MUSICA BOAA❤,2024-08-27T00:01:15Z
34,2024-08-26T05:08:40Z,@vernxiong5553,dJ9uVVNWClk,So catchy!,2024-08-26T05:08:40Z
35,2024-08-25T09:55:50Z,@AAAA-nf9kf,dJ9uVVNWClk,.,2024-08-25T09:55:50Z
36,2024-08-24T14:01:17Z,@ปลานิลน้ําตื้น,dJ9uVVNWClk,แอบชอบพี่คนหนึ่งที่รู้จักกันมา1ปีกว่าๆละมั้ง พี่เขารู้นะว่าเราชอบเขา แต่เขาไม่ใจอ่อนสึกที เป็นหนุ่มขี้ซึน ไม่ยอมบอกสักที พอถามว่าจะใจอ่อนตอนไหนก็ไม่เคยตอบคำถาม หาคำถามใหม่อยู่เรื่อย โอ้ยยยย นอย เมื่อไหร่จะใจอ่อนอ่ะะ คนรอมันเจ็บใจนะ,2024-08-24T14:01:17Z
37,2024-08-23T12:31:25Z,@thisisallly4150,dJ9uVVNWClk,คือตตำนานตอนนี้อายุ45แล้วแต่มาฟังตลอดๆ❤คิดๆๆถึง,2024-08-23T12:31:25Z
38,2024-08-21T01:56:39Z,@venti-s9t,dJ9uVVNWClk,จะกลับมาตอบกลับถ้าสมหวัง,2024-08-21T01:56:39Z
39,2024-08-20T14:11:21Z,@Y0U-belon9-with-me,dJ9uVVNWClk,ไม่รู้หรอก ว่าพี่จะเห็นเม้นนี้รึปล่าว แต่อยากบอกพี่ว่าคิดถึงพี่มากๆ พี่อาจจะไม่ได้คิดแบบหนู หนูอยากชอบพี่ไปเรื่อยๆ ไม่เคยอยากเลิกชอบ จนพี่เปิดตัวแฟน จนหนูถามตัวเองว่าถ้าหนูชอบพี่ต่อไปมีแต่เจ็บกับเจ็บ นี่ก้ 2ปีแล้วนะแต่หนูจะรอนะ รอวันที่พี่สนใจหนูขึ้น วันไหนที่หนูไม่ไหวเดี๋ยวหนูถอยเอง,2024-08-20T14:11:21Z
